Konto;Saldo
65;78400,00
320;15000,00
400;400,00
480;2470,00
800;-136520,00
970;-5000,00
980;1200,00
1000;3170,50
1200;-46018,95
1360;500,00
1530;7000,00
1576;11799,51
1590;750,00
1776;-15929,60
1800;6500,00
3400;7008,41
4120;78800,00
4210;23700,00
4260;1800,00
4360;1000,00
4530;1800,00
4600;5821,84
4630;75,00
4650;400,00
4800;24000,00
4830;1600,00
4832;3000,00
4900;17238,00
4920;4743,49
4930;6900,00
4980;169,00
8100;200,00
8400;-66700,00
8404;-16497,90
8500;-1000,00
10001;21880,00
10002;-1500,00
10003;7140,00
70001;-38149,30
70002;800,00
70003;-6900,00
70009;0,00
